150,2601 Glenwood Road Owners Corp. and Maxx Properties,02-CA-286023,Harrison,NY,11/09/2021,,"Region 02, New York, New York",Open,,
151,United States Postal Services,15-CA-285935,Baton Rouge,LA,11/09/2021,,"Region 15, New Orleans, Louisiana",Open,,
152,Port Townsend Paper Company,19-CA-285952,Port Townsend,WA,11/09/2021,,"Region 19, Seattle, Washington",Open,,
153,Isolved,28-CA-286159,Phoenix,AZ,11/09/2021,,"Region 28, Phoenix, Arizona",Open,,
154,AT&T Mobility,27-CA-286105,Boise,ID,11/09/2021,,"Region 27, Denver, Colorado",Open,,
155,New York State Nurses Association (New York-Presbyterian Hospital Columbia University Medical Center),02-CB-286049,Manhattan,NY,11/09/2021,,"Region 02, New York, New York",Open,,
156,"Central Plateau Cleanup Company, LLC",19-CA-286074,Richland,WA,11/09/2021,,"Region 19, Seattle, Washington",Open,,
157,"Kaiser Foundation Hospitals, Southern California Permanente Medical Group, and Kaiser Foundation Health Plan",21-CA-285969,Pasadena,CA,11/09/2021,,"Region 21, Los Angeles, California",Open,,
158,AC Ocean Walk LLC d/b/a Ocean Resort Casino,04-CA-285938,Atlantic City,NJ,11/09/2021,,"Region 04, Philadelphia, Pennsylvania",Open,,
159,The Amalgamated Sugar Company,27-CA-286037,Twin Falls,ID,11/09/2021,,"Region 27, Denver, Colorado",Open,,
160,"American Postal Worker Union, Phoenix Metro Area Local 93 (United States Postal Service)",28-CB-286095,Phoenix,AZ,11/09/2021,,"Region 28, Phoenix, Arizona",Open,,
161,"Red Rock Resorts, Inc., as a single employer with Station Casinos LLC and NP Red Rock, LLC d/b/a Red Rock Casino Resort and Spa",28-CA-286160,Las Vegas,NV,11/09/2021,,"Region 28, Phoenix, Arizona",Open,,
162,JBS SWIFT AND COMPANY,09-CA-286029,Louisville,KY,11/09/2021,,"Region 09, Cincinnati, Ohio",Open,,
163,"Safeway, Inc.",19-RC-285966,Sherwood,OR,11/09/2021,,"Region 19, Seattle, Washington",Open,,
164,United Federation of Teachers Welfare Fund,02-CA-286000,New York,NY,11/09/2021,,"Region 02, New York, New York",Open,,
165,The Harvest Center and Associates,19-RC-286014,Eugene,OR,11/09/2021,,"Region 19, Seattle, Washington",Open,,
166,APWU Local 735 (United States Postal Service),14-CB-285961,Wichita,KS,11/09/2021,,"Region 14, Saint Louis, Missouri",Open,,
167,New York State Nurses Association (New York-Presbyterian Hospital Columbia University Medical Center),02-CB-286041,New York,NY,11/09/2021,,"Region 02, New York, New York",Open,,
168,"Paragon Systems, Inc.",05-RC-285988,Washington,DC,11/09/2021,,"Region 05, Baltimore, Maryland",Open,,
169,"American Postal Workers Union, Baton Rouge Local 174 (United States Postal Services)",15-CB-285928,Baton Rouge,LA,11/09/2021,,"Region 15, New Orleans, Louisiana",Open,,
170,Atkore,18-CA-286113,De Pere,WI,11/09/2021,,"Region 18, Minneapolis, Minnesota",Open,,
171,Moscone Convention Center,20-CA-286020,San Francisco,CA,11/09/2021,,"Region 20, San Francisco, California",Open,,
172,Durham School Services,19-CA-286162,Fairbanks,AK,11/09/2021,,"Region 19, Seattle, Washington",Open,,
173,National Postal Mail Handlers Union Local No. 310 (United States Postal Service),10-CB-285950,Duluth,GA,11/09/2021,,"Region 10, Atlanta, Georgia",Open,,
174,BCTGM Local 37 (Jon Donaire Desserts),21-CB-286100,Santa Fe Springs,CA,11/09/2021,,"Region 21, Los Angeles, California",Open,,
175,Cape Cod Health,01-CA-285994,Falmouth,MA,11/09/2021,,"Region 01, Boston, Massachusetts",Open,,
176,United States Postal Service,20-CA-286073,West Sacramento,CA,11/09/2021,,"Region 20, San Francisco, California",Open,,
177,Detroit Thermal Systems,07-CA-286091,Romulus,MI,11/09/2021,,"Region 07, Detroit, Michigan",Open,,
